Hybridization REF	TCGA-AS-3777-01A-01R-0864-07
LOC729603	0.879
C1orf71	-1.310625
POLG	-3.3645
ADAM23	-3.8905
TFR2	-0.285
RICTOR	-0.4902
MGC39606	3.9495
C19orf55	-0.1855
SNAPC1	-1.10283333333333
GNA11	1.086875
CCDC52	-0.715833333333333
FSIP1	-1.175
UPF3A	-1.311625
IGSF11	-0.548333333333333
LAGE3	-0.9385
CHST6	-3.907
UNC13B	-0.56225
TTLL4	-2.17925
ZNF687	-0.675875
SDC2	0.947
COX7A2	1.2535
LAMB4	3.08825
FAM24A	0.6445
LRRTM3	-0.789333333333333
GPHB5	1.418
OR4C13	0.774
EIF3EIP	1.31685714285714
HABP4	0.7145
TMEM125	3.03575
CNTN2	0.21075
ASNSD1	0.01
FUT4	-0.366875
ACF	-2.8965
LOC158381	1.62
CDH8	0.435333333333333
AGPS	-1.14633333333333
C4orf18	0.713
PECI	0.442083333333333
UNG	-0.523125
GSTP1	0.6775
DCUN1D5	-0.628
DKFZP564J0863	1.12725
SLC9A3R1	-0.206625
BCDO2	2.042
CHMP7	-0.8925
REM2	-0.139
DNHD1	-0.559
FKBP4	-1.569
ZNF350	2.192
MGC11102	0.703625
BST1	-0.166
KISS1R	0.944
NCR2	0.4455
DEFB125	0.287
UBE2W	0.863875
KRT15	-3.318625
C10orf99	0.98
SCN11A	0.0368571428571428
GFI1	-2.8385
RDHE2	-0.997
FHL1	-1.13383333333333
OSGEP	0.334833333333333
GATA1	-2.9825
SMC6	-2.7165
TTTY14	2.519
LPIN3	0.4875
RPL4	-0.2518
RBPMS	-0.0836999999999999
PRPF3	-2.01016666666667
EMR1	-1.4165
SPATA19	0.1705
XCR1	1.0455
IRX3	-1.4683
RBM6	-1.45375
KLF4	-1.2509
UNC5CL	-0.52675
SEBOX	0.4025
BTK	-0.5025
KRCC1	1.30125
C6orf27	0.454
SYTL5	0.4975
PRND	0.783875
LOC653319	-1.787
PIGL	-0.430125
HUS1	2.12133333333333
SFRS6	-0.603833333333333
C17orf77	0.356
UIMC1	-0.526
FXYD2	5.12
LOC283152	0.43325
ZNF667	-1.253
ZCCHC12	-1.163
TFEC	2.4368
ATP7B	-0.931333333333333
POLD2	-1.77066666666667
RG9MTD1	0.4475
ACOT2	2.86816666666667
HIST1H4I	-1.03125
PPARGC1A	4.7318
ETFA	0.3762
POLRMT	-1.33675
ZNF146	-1.06
MIA2	2.3375
KLHL6	-1.39866666666667
HOXB5	1.742125
NENF	0.589166666666667
CUGBP1	0.588
PRSS22	1.14566666666667
CASC4	2.4385
CUL4B	0.6296
CENPJ	-2.8028
PITX1	-1.45383333333333
FLJ31033	0.756166666666667
CELSR3	-2.24066666666667
ZNF568	0.62075
ITSN1	-1.391
EHBP1L1	-2.5255
C19orf2	-0.35725
DCTN1	-1.118
LIN28B	-4.3475
TNKS2	-0.118
C1QBP	-1.027375
CADPS2	1.0505
SRMS	0.278
GJA9	1.15583333333333
MGC24975	-1.66983333333333
TRIM45	-1.11983333333333
TSP50	-0.02275
TCP1	-1.46
TMED7	1.8372
CMA1	0.268
CENPL	-1.18833333333333
PTCRA	0.308
FST	-4.68675
VWCE	-4.41
PAWR	0.521
ABCC12	0.623333333333333
LDLR	-1.288
ASTN2	1.9418
LOC441212	-0.00187499999999999
GPATCH8	-0.2995
TANC2	-1.48883333333333
KIF4A	-3.69875
C18orf18	-0.72175
PGM1	0.328
KIAA0258	2.54125
CPD	0.843625
SNCAIP	-1.21175
DCT	-4.42916666666667
HLA-DOA	2.37663636363636
OR11L1	0.9675
UPK1B	0.108666666666667
DNAJB4	0.373875
UGT1A8	-0.19125
HIST1H4L	-1.515
PECR	0.668
HSPA2	2.9975
WFIKKN1	-2.048
SERP1	1.111125
SYDE2	-0.9555
TACR2	0.6295
NUP85	-2.14225
CD177	0.229666666666667
LGR5	-2.223
PIGG	0.166833333333333
PTHR1	0.0861666666666667
RAB5A	0.7715
FLJ13224	0.1585
USP9Y	1.24333333333333
C7orf53	0.075
LRP1B	-1.1775
XAF1	-0.532
ABCG8	-1.281
ANKDD1A	-1.456
DAND5	-2.119
SPAG6	0.178333333333333
LINCR	1.9685
ZDHHC22	-1.034625
CCDC60	1.0145
THOC7	-0.523833333333333
TCTA	1.881
OR8K3	0.898
NY-REN-7	0.4585
B2M	3.07866666666667
C6orf141	-3.154
LPPR4	0.303
SQLE	-2.591625
SEPHS1	0.343
BTBD14B	0.0357857142857143
PLRG1	0.04475
SPG7	-0.590875
ZNF614	0.807
PARD6G	-0.0566666666666667
INPP5B	-1.4583
GRPEL2	2.382
PPID	-0.466
TRIM56	-1.23725
UBE2J1	-0.04975
IL20RA	0.295
LOC387856	-0.178
C1orf107	-0.659916666666667
UTS2R	0.95025
C19orf22	-0.143
SAFB2	-0.77925
KIAA0652	-0.23925
KLRG1	-1.72333333333333
MS4A8B	0.4476
FRAG1	-0.03775
KIAA1546	-1.84675
E2F4	-1.3185
CLEC4M	0.585
BTBD14A	-0.91875
KIAA0999	0.865
GYPA	-3.233
TAC1	2.3422
TRAIP	-2.04816666666667
KIAA0232	0.9777
ERCC8	0.526625
GPX4	1.5915
KIAA0368	-1.4415
GPR157	-0.509166666666667
CTAGE4	0.6405
C9orf30	-0.268666666666667
OR52A1	1.653
HSP90B3P	-0.6635
ALG9	0.4552
BTBD10	0.976
SDK2	-0.22375
BAIAP3	-0.8315
RABGGTB	0.084875
ANKRD40	-0.945
KRT74	0.582
CALCOCO2	0.308714285714286
SNCA	-1.6245
TMSL8	-2.615625
C2orf53	0.481
ESRRB	0.6205
ARHGAP26	-1.3055
TDRD9	-2.73825
HRAS	-0.254
KLRC4	-0.972
JAGN1	-0.398
BSDC1	-0.5595
RNF43	-2.17044444444444
NDUFAF1	1.21825
PHF12	0.75925
OR1L3	0.9065
FOLR2	2.65191666666667
LYZL6	0.627166666666667
tcag7.1260	0.4645
WSB1	-1.96383333333333
PROS1	-1.5453
OSTN	1.15
PSMB8	1.57525
SOCS4	0.703
DDIT4L	5.3225
MAS1	-0.1155
MGC34796	0.86425
CSHL1	0.3685
TBCCD1	-0.518
ZBTB7C	-0.2845
AP2S1	0.08025
P15RS	0.9245
VAT1	-0.3129
SHANK3	0.625833333333333
TUFM	-0.173166666666667
THEG	-0.5285
KRT34	-1.46125
SGSM3	-0.995
TOMM22	1.30475
SOCS3	-0.777666666666667
CPO	0.4985
POP4	1.75925
BHLHB3	0.22175
MALL	1.62225
OR1B1	-0.2715
PARK2	0.697166666666667
GPR124	-0.4145
LCE1E	0.1185
RUVBL2	-1.58
CGRRF1	2.5375
ACPL2	0.05275
WNT10B	-2.1065
BAIAP2L2	-1.323875
ISCA1	1.1755
C1orf125	0.079125
RPAP1	-1.20275
RAI16	-0.2505
RPL27	-0.0395
NLRP9	-0.2115
EPN1	0.3195
LOC388610	2.419
SLC35A1	-0.0636
GAL	-4.5195
SLC14A2	0.65225
RDH11	1.55
FAM138F	0.7435
AUH	2.68525
FLJ40243	0.10025
C14orf129	2.0095
MBD2	-0.8945
ABHD14B	0.29325
PIGT	-0.692375
ALS2CR4	-0.8895
ALAS1	1.1534
FOXO1	1.24533333333333
CRLF3	-1.661875
C20orf107	-0.7255
FARS2	-0.01275
CCDC28A	0.92675
NPHP3	-1.6705
OR13F1	0.6445
TSEN54	-1.572
DEFB106B	-0.1872
OR8B4	0.733
STH	-0.12825
ZC3H14	-0.435
CBX2	0.56
TMEM49	-1.551
C6orf21	1.0645
FLJ20920	-0.75325
CRTAP	1.11928571428571
DDX50	-0.35725
STYXL1	0.88225
BLVRB	0.517166666666667
LOC147650	-1.49116666666667
MMP24	1.02075
GRID1	0.293666666666667
BANF1	-0.153333333333333
CTAGEP	1.17475
HMBS	-1.25225
SLC25A24	-0.315166666666667
C14orf50	1.1895
MRO	2.17066666666667
SLC25A15	-0.6375
FAM84B	-0.8239
TDP1	-1.2075
C16orf78	0.43
C11orf57	-0.344625
RFK	1.232625
ZFYVE9	-0.74475
STCH	0.8697
WIBG	0.35575
LOC283871	0.0253333333333333
GBA2	-1.2126
NDUFB3	0.8795
HSD17B13	-0.12825
GRIN3A	0.489166666666667
FMNL1	-2.1885
SEPT7	-0.3336
GNLY	2.2385
GRAMD1C	2.62
ZNF165	2.60925
USP38	0.68325
FAM83A	-3.0855
C14orf24	1.26016666666667
ARMCX3	1.798375
ARHGDIB	-0.674833333333333
AK1	1.128
KIAA1045	0.13325
DNAJB13	-0.3885
NEU2	0.698
HIST1H4B	-0.9265
FAM20B	-0.8704
HES2	0.0728571428571429
FAM73B	-0.9255
LOC388381	-0.493
INTS7	-1.22345454545455
AMPH	-0.016
ZNF775	-0.201125
UCKL1	-0.472
C10orf97	1.42025
C1orf161	1.53725
ALDH1L1	4.5635
FLJ39378	0.11425
SLC23A1	-2.2285
RBM4B	-0.4795
THAP4	0.563333333333333
OGFRL1	0.10075
KIAA0831	0.3525
PPP1R15A	-1.30866666666667
C1orf96	-1.41257142857143
C12orf11	-0.45975
BMF	-0.43825
MAN1A1	1.14125
KIAA1600	0.193
NLGN4X	1.02375
ALOX12	-0.850666666666667
RB1CC1	-0.1665
NEIL2	-0.5952
EIF4E	1.40236363636364
ABHD5	1.45425
EXOC4	-0.496666666666667
CIP29	0.649833333333333
BATF2	0.306
SLC29A4	0.802625
HTR4	0.3655
EMB	-0.687
TRAF6	1.41175
LMNB1	-4.40225
FAM19A5	-1.225125
SHE	1.19625
PIK3C2B	-1.45025
C15orf15	0.7654
USP15	0.4165
TCEAL2	0.37375
C5orf39	-1.76933333333333
PTGER2	-1.675
SLC31A1	-0.343875
IFT172	-1.363
ADAM29	0.36975
GFOD1	-1.017
ST7L	-0.2875
C15orf26	-2.33675
PKN3	-1.86975
CNTD1	1.3605
COMMD1	1.18625
NTRK2	1.119
FOXN3	1.57425
MFGE8	-0.6513
PFKFB2	2.07133333333333
TAS2R4	-0.1115
ENTHD1	-0.531
PRMT5	-1.2845
MGC16384	-1.78325
LOC442229	1.92275
TSKU	-0.866625
KRTCAP3	2.57925
PDLIM1	-0.1694
KCNS2	0.30625
RNF126	-0.4225
CEP63	0.39225
CLIC4	-1.17025
hCG_1990170	-0.09325
ACR	0.5838
KLK7	-0.289
ALOX5AP	4.282125
RIPK3	1.1465
TAS2R9	1.0935
C19orf18	1.001
BIRC6	-0.689
ZNF16	-0.236
RFT1	-1.3025
SLC8A2	-1.12625
TACC1	0.54
ITGAD	1.066
SAMHD1	0.24925
SH3PXD2B	-1.0057
EPC2	-0.3455
C20orf85	0.34525
ATP13A2	-0.601833333333333
KRT4	1.045125
CAPNS1	-0.05625
MDM2	0.195083333333333
PCDH20	0.7575
KCNK9	0.6785
OR2C1	0.606
KLHDC3	-1.1415
IPPK	-0.4865
EFHD2	-0.87525
GALR3	1.099
NBEA	1.82283333333333
ABCA6	1.5711
CLDN3	-0.5685
AKT2	-0.0562142857142857
EGFR	0.7106
RBM16	-0.17075
ZDHHC3	2.7236
SLC25A4	3.372
CYB5B	0.851166666666667
CPXM1	-1.508
NDRG1	-0.644
FLJ43826	0.291
OR5L2	1.14716666666667
FARP2	0.1353
MRPL46	0.66825
LDHAL6B	0.655666666666667
MAPKAPK3	0.720166666666667
NCAM2	-3.8095
PRKD2	-1.29583333333333
ZFP36L1	-0.0507
CYSLTR1	-0.29275
OR4C3	0.41
HIST1H2AJ	2.1015
CCNB2	-3.739
ZNF10	0.484
TMEM175	-0.2465
FAM134A	-0.267666666666667
TIGD4	-0.8505
PCNP	0.149
MGC39715	0.8905
LQK1	-0.16275
CREB1	-0.0991
TMPRSS3	-1.36525
C4orf32	0.118125
LAT	-2.45641666666667
KCNA3	-0.2895
SKIV2L2	-0.73325
ROPN1B	-3.9425
tcag7.23	0.2545
CDT1	-3.183875
ZHX2	-0.281
CD28	-3.63475
ZNF624	-0.13675
SEPT2	-0.766666666666667
SOHLH2	-1.419875
MCOLN3	2.343
UNQ1945	1.083
MASP2	-0.68
ZNRF3	0.396
GPATCH3	-0.78675
AGL	0.51275
QRICH2	0.0705
PSD4	-1.302
CCNB1IP1	1.237
ENPP7	0.535
OBFC1	2.4565
KCNG3	-2.3505
C14orf79	-1.3985
ENPEP	1.64533333333333
SCT	0.1285
SKI	-0.2575
SEC61G	-0.58475
CAPN11	0.0145
ATXN7L3	-0.9245
DBNDD1	-0.147666666666667
FAIM	0.88225
ANKRD36	-1.62
GABRP	-0.3206
TACSTD2	0.1815
EIF3J	-1.13925
PPP2R2A	-0.682
TEKT4	-0.5435
PVALB	4.926
F10	-2.62783333333333
FAM134C	0.3012
COMP	0.23425
EFCBP1	-2.781625
SCLT1	0.65425
TAL1	0.0487
ACSL1	3.92075
ABCC5	0.535166666666667
ABL1	-1.11005555555556
RBBP7	-0.552416666666667
PTPRG	0.955625
NCOR1	-1.2544
SPINK4	2.441
TXNRD1	-0.4824
TNRC15	-0.1385
C9orf138	0.247875
UBE2H	1.54383333333333
BRDT	0.3125
C8orf31	0.2755
CCNE2	-4.32090909090909
SLC6A8	0.07925
CALCR	-0.89375
PPP1CB	1.955
ABHD8	-0.58425
ARF5	-0.3296
SLC24A4	0.242
CCT3	-1.956
ZNF121	-0.463875
SLC3A2	0.1754
OR13A1	0.8145
SLC5A10	0.29275
RAD50	0.39775
IER5	-0.810375
MTHFD1L	-1.25175
MBTPS2	0.39275
MVK	0.255125
NCL	-1.567
PSMD10	0.296
MOBP	0.32525
FLJ32894	0.299
HRH1	-1.62466666666667
C5orf30	0.77225
NUDT16L1	0.8807
RASGRP3	4.45133333333333
PRKRIP1	-0.4341
CCDC75	-1.06675
LOC253970	0.29025
KIAA1239	0.563
MED21	1.26075
SYT11	1.16858333333333
NTSR2	0.4125
EGFL11	null
CXorf59	-0.23
OR2A25	0.7505
SPTBN2	-0.48975
LRMP	-0.132666666666667
RNF111	0.76275
PTH	0.844
LOC619208	0.9685
KIAA0895	-0.513
RANBP5	-0.407375
P2RY10	-0.0143333333333333
NME5	4.40233333333333
DDX21	-1.471
LRSAM1	-1.2515
HDAC11	1.5295
VMO1	1.9955
NOLA2	-0.6175
ADAR	-1.66366666666667
MTO1	-1.32433333333333
SF4	-0.628
P2RX1	0.0106666666666667
HBM	1.176
EN2	1.0225
C14orf172	-0.183
TM9SF2	0.589
INHBE	-0.489166666666667
TCTE3	0.190916666666667
TOX2	-0.792
CTAGE3	1.499
HBB	6.5059
MED15	-1.702
CASR	1.49325
C6orf66	1.48733333333333
MTPN	-0.18225
UNC50	-0.2565
C21orf33	0.284375
IRF2	0.842875
PGR	0.139666666666667
GPR84	1.3825
CROCCL1	-3.90775
SRPX	-1.4115
BRE	-0.633166666666667
FGF10	0.255
SDC3	-0.911666666666667
ZRSR1	-0.359333333333333
DKFZP434P211	-0.62925
SOX6	1.16
RPUSD2	-0.28775
C14orf173	-0.309083333333333
MAPK11	-0.3165
TBC1D22A	0.6625
FAM123A	-0.193
COL4A6	-4.41633333333333
TOMM70A	0.92025
NAB1	-0.4135
MGC16385	-0.323375
TSPAN18	-0.913166666666667
MED31	0.97625
PLG	0.4265
CAPSL	0.834
ZNF532	0.1025
ASB14	0.5035
CA8	-0.3025
NUDT16P	3.4485
SLFN11	-1.488
LRRIQ2	-0.649375
NOL7	-0.6825
BRMS1L	0.750875
JARID1A	-0.249333333333333
PANK2	-0.32825
ICAM3	1.353
MDS1	1.328
TAF8	-0.42
RNF139	0.03425
ZNF594	-2.35016666666667
ADAM8	-0.173125
SFTPC	0.5735
MAN2B2	0.06625
RGS12	-0.413125
EIF1AY	1.56125
LRRIQ1	-0.888666666666667
GPR150	0.9115
CCDC21	-1.4105
PRRG3	0.22425
SAA4	-3.46175
RAPGEF5	3.21875
ZCCHC2	-0.402666666666667
MGC39372	-0.1075
PPP4R2	0.53
CDCA2	-3.38516666666667
OR4D5	0.950666666666667
PTGFRN	-0.3689
SIGLEC5	1.5935
C19orf61	-1.36383333333333
NMUR2	1.0555
KIAA1586	-1.39216666666667
DAGLA	0.2045
CHCHD6	0.67375
GPR32	0.6565
NEUROD6	0.256
SLC2A4RG	-0.2786875
CA5B	0.93925
FBXL3	1.22175
MPHOSPH9	-0.9015
HMG2L1	-0.6065
HCN4	0.864
CEACAM19	-1.0215
SH2D4B	0.392666666666667
HFE2	-0.601
TGM4	1.05233333333333
LYPD2	0.43925
TBC1D15	0.74525
MRPS21	-0.8212
NONO	-1.7061
CLEC5A	1.862625
ITCH	0.7158
MGAT3	-1.75466666666667
MBP	0.922
RPP25	0.56825
SOSTDC1	0.7965
HRC	-0.41825
TRIM48	-0.451
TMEM133	1.445
ECEL1P2	-0.7735
HOXC11	-0.309
DOK5	-0.69175
HELZ	-1.22633333333333
LOC348180	0.17775
MGC33894	1.234
ADRB3	0.4065
DMD	0.452
PTRH2	-1.005
MPEG1	2.974
NDUFA12	2.3685
KRTAP2-4	0.6685
STAMBPL1	-1.03566666666667
ADCY2	-1.06616666666667
UNQ6125	0.0035
KLHL20	-0.125666666666667
SRM	-1.55175
OTC	4.2995
TMIE	4.295
SNX8	0.6125
LIPK	0.274
CHURC1	0.232833333333333
KLC2	0.644166666666667
HDAC1	-2.06716666666667
FAM128A	-1.09533333333333
FNDC3B	-0.0853
MTCP1	1.536
WFDC10B	0.4344
PCDHGB3	-0.121
ATRNL1	0.1156
CAV2	3.171125
MED26	-0.879333333333333
DUS1L	-1.296
CHRM3	-1.99725
NEK9	-0.6485
WARS2	-0.247
TBX22	-0.454
TOMM40	-1.10675
RP6-213H19.1	-1.57816666666667
TUBGCP5	-0.34125
IGSF6	5.5165
TPPP	0.710333333333333
UNQ6190	-0.4655
GSTM5	-0.286125
BTD	0.944666666666667
PDCD1LG2	-0.380833333333333
SNRPB2	-0.344666666666667
ERICH1	0.263125
APOA4	-1.10325
HOXA11	-1.18
NARG1	-0.30775
MKX	1.54925
RAB28	0.125
PKP3	-2.8235
SH3GL2	5.58375
CTSO	2.0545
RPN2	0.032875
IL28RA	0.0903333333333333
SFMBT1	0.02425
WDR57	-0.919625
FER1L3	-0.74525
HSF5	0.5094
TTC9B	0.7755
C4BPA	-3.1165
ALB	-4.58428571428571
SORBS3	-0.34325
UPF2	-1.145
JPH1	0.2435
AGBL2	-3.171
DOPEY1	0.6185
TERF1	-0.634916666666667
KIF22	-1.84016666666667
NINJ1	0.34075
SEC61A2	-1.258
HIST1H1D	-0.3845
SFXN4	2.12625
UCP3	-0.0585999999999999
ZNF703	0.4485
MYL6B	-1.032
TREM1	2.02675
OR52E6	0.2745
CKMT2	6.9435
HLA-C	2.4575
SLC13A3	-1.66283333333333
TIMP4	-1.1205
SLIT2	5.0455
RSF1	-0.111555555555556
LONRF1	-0.0877142857142857
MON1A	0.321166666666667
CACNG6	-1.454
DPPA4	-5.51133333333333
ZSWIM3	1.123
ZNF804A	-0.022
CCIN	0.68925
SLC25A31	0.4125
KCNMB4	-1.02925
RABL5	0.89725
GALNS	-0.5334
STX6	-0.747
HIST1H1C	-3.40566666666667
CIDEB	-0.90125
CASP4	-0.387
PDK3	0.6563
KCNJ11	1.83
TPR	-1.862625
ZSCAN20	-0.309
MTX2	0.44425
HIST1H2BH	-1.837
LOC283767	-0.49375
LYRM7	0.120411764705882
BRD3	-2.922
HIST1H2BO	-1.838
MAGEB10	-0.213
SLC45A1	-1.01825
SERPINA3	-2.25405
KIAA0143	0.45075
KCNJ16	0.8912
KRT79	-0.346
FABP2	-0.19625
NUT	0.35225
ZNF57	2.45825
FBXL4	0.539
CLEC9A	2.3945
UGT8	5.05233333333333
BMP2K	1.15275
MAPK4	-1.34825
SLC25A23	-0.1926
HINT1	0.4674
KRTAP13-1	0.6395
SFXN5	-0.7319
CHCHD2	0.652
FAM3D	2.987
NDP	-3.40375
RHOBTB1	0.764
SLC4A4	-0.725875
RPL38	-0.15925
HTF9C	-1.84966666666667
AP2A2	-0.118
ZBTB46	-0.0415
MAP7D1	-1.472875
AOX1	-2.2595
CYR61	-1.00391666666667
DTNA	0.177571428571429
JRKL	1.09825
TMOD3	0.44825
EEA1	0.3793
ADCK5	-1.01925
IL1R1	1.32633333333333
KLK3	2.24057142857143
HRSP12	-0.55975
KTN1	-0.1485
LOH11CR2A	0.3877
RELL2	-1.5815
MAB21L1	0.2345
C20orf59	-0.473666666666667
PHKB	1.33475
ADAM2	-0.336833333333333
TBC1D8B	0.6315
FAM13A1	0.3636875
LAPTM4B	-0.972333333333333
LCN8	0.717
TMEM147	1.1685
SYT4	0.196
XPO7	-1.923
C9orf62	1.27525
GPR75	-0.352
TRIM5	0.139625
APOC1	-0.9705
RNASE4	-2.00916666666667
PARD6B	-1.113125
ARID1A	-1.407
TPD52L3	0.4241
RRAGB	2.419
RCN2	-0.312333333333333
HIST2H2BE	-0.74375
STARD7	0.1525
SHMT2	-1.09825
KIAA1751	0.378
MLYCD	1.297625
LOC162632	-0.5312
UQCRH	-0.092
RP11-217H1.1	0.92525
SDHA	0.299
NCLN	-0.378
ZNF17	0.522333333333333
RCBTB2	-0.363
VEGFB	1.5969
RP4-747L4.3	-0.8465
COLQ	0.0418
MPN2	-1.029
DRG2	-1.499
KLRB1	5.06725
ALPK2	-4.04525
DNASE2B	1.18125
FLJ23834	-0.519333333333333
AXUD1	1.2955
SAFB	-0.8869
NSUN4	-0.0135
RFX2	-0.620166666666667
MAPK8IP1	0.360166666666667
FANCD2	-2.72135714285714
ANKZF1	-2.91816666666667
C19orf50	-1.081125
DUSP8	1.709125
SENP5	0.9255
NFKBIL2	-0.6915
LBR	-2.775625
IGFL1	0.6215
LZTS2	-1.564875
IL2RG	-1.051625
CCDC51	-0.00125
KLF3	-0.034625
ANKRD37	-0.255
KCTD14	1.193
FZR1	0.0410833333333333
SLC44A4	-1.5509
ESPL1	-1.28675
GMPR2	0.0509
TBC1D19	1.463
ERGIC1	1.30125925925926
ERBB4	2.2233
TSPAN32	0.61775
MAP4	-0.17
GPHN	1.305
SLC6A2	2.99775
HIVEP1	-0.04975
DFFB	-1.8049
EIF4EBP2	1.811125
DMRT1	1.51
HSPB6	-0.0165
IER2	-1.27366666666667
AIFM1	0.6975
WWC2	0.7185
MRPL4	0.1145
FLJ21062	0.193333333333333
EPB41L4A	2.71908333333333
SH2D6	0.512
TAF4B	-1.12225
GAL3ST3	0.022
MALT1	-0.721
RTDR1	1.82175
ARVCF	-0.61025
MEX3B	-2.9755
FBXO16	-0.45825
KIF7	-2.6725
C1QC	4.81783333333333
ZNF783	-1.8905
ZNF85	1.21
MMP13	-0.531
KIAA0329	-0.487285714285714
RTP3	0.3205
ZBED3	-0.2115
CLGN	-0.1395
SLC25A37	-2.121625
hCG_18290	0.4235
OR5AS1	-0.46
SMARCC2	-0.328
FAM109A	0.252833333333333
CCDC12	0.229
USF2	0.348
DEPDC7	-4.662
C20orf24	0.326166666666667
JMJD3	-1.136
DSP	-0.292928571428571
SLIC1	0.489285714285714
FAM20A	-0.225875
IRF2BP2	-1.340375
ZNF230	0.1205
MSN	0.163857142857143
SLC9A5	-1.271
EPDR1	2.9923
MUSK	0.542
ZNF434	-0.314
SMARCD1	-0.335833333333333
ZFP106	-0.807
ZNF347	0.0291
GTF2E1	-0.181
RY1	0.575333333333333
ATAD2B	-1.44575
ARHGAP17	-0.39
