Hybridization REF	TCGA-BP-4161-01A-01R-1188-07
ANKRD40	-0.333666666666667
KRT74	-0.0655
CALCOCO2	0.575785714285714
SNCA	-2.2985
TMSL8	-3.637875
C2orf53	1.286
ESRRB	-0.506
ARHGAP26	0.898875
TDRD9	-2.01325
HRAS	-0.121
KLRC4	-1.2185
JAGN1	-0.0975
BSDC1	0.61875
RNF43	-0.9446
NDUFAF1	0.00825
PHF12	-0.51925
OR1L3	-0.15975
FOLR2	3.41366666666667
LYZL6	-0.465333333333333
tcag7.1260	0.379
WSB1	0.2185
PROS1	3.2162
OSTN	0.473
PSMB8	2.216
SOCS4	-1.17725
DDIT4L	4.13275
MAS1	-0.611
MGC34796	1.1775
CSHL1	0.4615
TBCCD1	-0.512833333333333
ZBTB7C	-0.294
AP2S1	-0.206125
P15RS	-0.8388
VAT1	0.4263
SHANK3	1.9995
TUFM	0.0855
THEG	-0.75425
KRT34	-1.96375
SGSM3	-0.590125
TOMM22	0.329
SOCS3	0.737166666666667
CPO	2.0015
POP4	0.472
BHLHB3	3.513
MALL	2.665
OR1B1	0.105
PARK2	2.28883333333333
GPR124	-0.0405
LCE1E	2.686
RUVBL2	-0.83675
CGRRF1	0.3526
ACPL2	0.90175
WNT10B	-1.5885
BAIAP2L2	0.950125
ISCA1	0.879
C1orf125	-0.28075
RPAP1	-1.1935
RAI16	-0.342166666666667
RPL27	-0.119625
NLRP9	0.6845
EPN1	0.217
LOC388610	-2.62075
SLC35A1	0.2131
GAL	-3.3705
SLC14A2	0.2265
RDH11	0.00950000000000002
FAM138F	-0.0595
AUH	0.743
FLJ40243	-0.32725
C14orf129	-0.131166666666667
MBD2	-0.2485
ABHD14B	-0.0805
PIGT	-0.206375
ALS2CR4	-0.50475
ALAS1	-0.4707
FOXO1	1.184
CRLF3	-0.065625
C20orf107	-0.0805
FARS2	-0.02025
CCDC28A	1.75025
NPHP3	-0.09175
OR13F1	0.685
TSEN54	-0.76075
DEFB106B	-0.115555555555556
OR8B4	0.457
STH	1.605
ZC3H14	-0.917875
CBX2	-0.3875
TMEM49	-1.21575
C6orf21	0.5355
FLJ20920	-0.89325
CRTAP	-0.0845
DDX50	-0.37375
STYXL1	-1.09025
BLVRB	0.552166666666667
LOC147650	0.0798333333333333
MMP24	0.64425
GRID1	0.279666666666667
BANF1	-0.566833333333333
CTAGEP	0.39
HMBS	-1.75475
SLC25A24	-0.765833333333333
C14orf50	-0.70225
MRO	1.67616666666667
SLC25A15	-1.2365
FAM84B	0.6667
TDP1	-1.103
C16orf78	0.108166666666667
C11orf57	0.435
RFK	0.255875
ZFYVE9	-0.783
STCH	-0.4404
WIBG	-0.11925
LOC283871	-1.17233333333333
GBA2	-0.922
NDUFB3	0.05525
HSD17B13	1.265
GRIN3A	2.75383333333333
FMNL1	-0.908166666666667
SEPT7	-0.0574
GNLY	5.6905
GRAMD1C	1.902
ZNF165	-1.36325
USP38	-0.33425
FAM83A	-2.80483333333333
C14orf24	1.02633333333333
ARMCX3	0.897625
ARHGDIB	0.349833333333333
AK1	-0.814125
KIAA1045	-0.555
DNAJB13	1.31983333333333
NEU2	1.604
HIST1H4B	-0.692333333333333
FAM20B	-0.8675
HES2	0.437642857142857
FAM73B	-0.8551
LOC388381	-0.26825
INTS7	-1.118
AMPH	-0.93225
ZNF775	0.453875
UCKL1	-0.409166666666667
C10orf97	-0.07525
C1orf161	0.5005
ALDH1L1	3.93125
FLJ39378	-0.506
SLC23A1	2.259
RBM4B	-0.29825
THAP4	-0.029
OGFRL1	1.023
KIAA0831	0.087125
PPP1R15A	-0.463833333333333
C1orf96	-0.535
C12orf11	-1.135
BMF	0.885
MAN1A1	-0.9445
KIAA1600	0.694666666666667
NLGN4X	-0.96
ALOX12	-2.57233333333333
RB1CC1	0.1009
NEIL2	0.4713
EIF4E	-0.291272727272727
ABHD5	-0.67175
EXOC4	-0.319166666666667
CIP29	-0.523333333333333
BATF2	3.36925
SLC29A4	0.102
HTR4	0.78725
EMB	-0.143
TRAF6	1.08525
LMNB1	-1.75025
FAM19A5	-0.34775
SHE	2.791
PIK3C2B	0.64525
C15orf15	-0.5221
USP15	0.1661
TCEAL2	-1.2375
C5orf39	0.826666666666667
PTGER2	-0.28475
SLC31A1	-0.836125
IFT172	0.23875
ADAM29	0.39675
GFOD1	-0.3985
ST7L	-0.0641666666666667
C15orf26	-2.771
PKN3	-1.40975
CNTD1	-0.706333333333333
COMMD1	0.8835
NTRK2	2.6115
FOXN3	0.491375
MFGE8	-0.8493
PFKFB2	0.744833333333333
TAS2R4	0.1775
ENTHD1	0.640833333333333
PRMT5	-1.263625
MGC16384	0.483125
LOC442229	-1.07525
TSKU	-0.978625
KRTCAP3	3.044375
PDLIM1	0.9801
KCNS2	0.58175
RNF126	-0.0978333333333333
CEP63	-0.267125
CLIC4	0.94525
hCG_1990170	6.95125
ACR	1.1446
KLK7	-1.442
ALOX5AP	3.534625
RIPK3	3.727
TAS2R9	0.1795
C19orf18	0.15
BIRC6	-0.166285714285714
ZNF16	0.1975
RFT1	-1.19975
SLC8A2	-0.80775
TACC1	1.240875
ITGAD	2.9985
SAMHD1	2.191
SH3PXD2B	-0.1104
EPC2	0.626
C20orf85	0.174625
ATP13A2	-0.413666666666667
KRT4	0.598125
CAPNS1	-0.57075
MDM2	0.94475
PCDH20	2.1975
KCNK9	1.02
OR2C1	-0.925
KLHDC3	-0.9715
IPPK	-1.3775
EFHD2	0.68425
GALR3	2.3785
NBEA	1.7445
ABCA6	1.1774
CLDN3	-0.220833333333333
AKT2	-0.838357142857143
EGFR	0.9581
RBM16	0.455375
ZDHHC3	-0.3845
SLC25A4	0.419333333333333
CYB5B	-1.13783333333333
CPXM1	-1.672
NDRG1	2.03353846153846
FLJ43826	-0.01375
OR5L2	0.1412
FARP2	-0.064
MRPL46	-0.163
LDHAL6B	-0.124833333333333
MAPKAPK3	0.0825
NCAM2	-4.62675
PRKD2	-0.200833333333333
ZFP36L1	1.4685
CYSLTR1	0.28475
OR4C3	0.48125
HIST1H2AJ	0.496
CCNB2	-3.18566666666667
ZNF10	0.08375
TMEM175	1.2025
FAM134A	0.5245
TIGD4	-0.3415
PCNP	-0.11575
MGC39715	1.09175
LQK1	-2.28575
CREB1	0.0516
TMPRSS3	-1.83725
C4orf32	0.110375
LAT	-0.0344166666666667
KCNA3	0.2815
SKIV2L2	-0.8275
ROPN1B	-3.87275
tcag7.23	0.0195
CDT1	-2.752625
ZHX2	1.931125
CD28	-1.45475
ZNF624	0.62725
SEPT2	-0.37825
SOHLH2	-2.578125
MCOLN3	-1.8344
UNQ1945	1.389
MASP2	-1.1405
ZNRF3	0.7675
GPATCH3	-0.15575
AGL	-0.156125
QRICH2	0.0195
PSD4	-0.202166666666667
CCNB1IP1	-1.28575
ENPP7	0.29075
OBFC1	-0.22575
KCNG3	-3.1305
C14orf79	-0.216
ENPEP	6.6805
SCT	0.529
SKI	1.187375
SEC61G	-0.63225
CAPN11	1.04125
ATXN7L3	-1.26025
DBNDD1	-0.897166666666667
FAIM	0.6945
ANKRD36	0.2695
GABRP	-1.329
TACSTD2	-2.40516666666667
EIF3J	-0.78525
PPP2R2A	-0.5465
TEKT4	0.267166666666667
PVALB	-3.01416666666667
F10	-1.46683333333333
FAM134C	0.4314
COMP	-1.602625
EFCBP1	-2.6390625
SCLT1	1.568875
TAL1	-0.7771
ACSL1	3.02575
ABCC5	-0.296166666666667
ABL1	-0.608777777777778
RBBP7	-0.632583333333333
PTPRG	0.876125
NCOR1	-0.2893
SPINK4	-1.97983333333333
TXNRD1	-1.4697
TNRC15	1.112125
C9orf138	0.898625
UBE2H	0.559666666666667
BRDT	-0.21625
C8orf31	0.19875
CCNE2	-2.96345454545455
SLC6A8	0.71725
CALCR	-1.62225
PPP1CB	1.21366666666667
ABHD8	-0.281
ARF5	-1.0367
SLC24A4	1.558
CCT3	-0.55725
ZNF121	-0.283125
SLC3A2	-1.5321
OR13A1	0.594
SLC5A10	4.02975
RAD50	0.1135
IER5	0.79225
MTHFD1L	-1.53425
MBTPS2	0.095
MVK	0.74925
NCL	-0.5389
PSMD10	-1.2405
MOBP	0.706428571428572
FLJ32894	1.2335
HRH1	0.604666666666667
C5orf30	-0.94875
NUDT16L1	1.0805
RASGRP3	5.039
PRKRIP1	-0.3276
CCDC75	0.4105
LOC253970	-1.38675
KIAA1239	0.40575
MED21	-0.56125
SYT11	1.553
NTSR2	-0.011
EGFL11	-1.2905
CXorf59	2.062
OR2A25	0.8265
SPTBN2	-2.10525
LRMP	1.11416666666667
RNF111	0.74775
PTH	-1.105
LOC619208	1.24566666666667
KIAA0895	0.804
RANBP5	-0.99
P2RY10	2.13083333333333
NME5	3.93216666666667
DDX21	-1.26425
LRSAM1	-0.577
HDAC11	-0.121666666666667
VMO1	3.24275
NOLA2	-0.849333333333333
ADAR	0.221166666666667
MTO1	-0.904
SF4	-0.513333333333333
P2RX1	-0.0166666666666667
HBM	1.8915
EN2	2.3845
C14orf172	-0.028
TM9SF2	0.1219
INHBE	-1.02616666666667
TCTE3	-0.0546666666666667
TOX2	-1.10675
CTAGE3	0.7
HBB	5.5133
MED15	-0.959
CASR	3.62
C6orf66	-0.939166666666667
MTPN	0.08125
UNC50	-0.12075
C21orf33	0.386
IRF2	1.2885
PGR	-3.15433333333333
GPR84	2.52975
CROCCL1	-1.82125
SRPX	-3.4935
BRE	0.574
FGF10	-0.68025
SDC3	0.424
ZRSR1	-0.265166666666667
DKFZP434P211	-0.08825
SOX6	0.314
RPUSD2	-0.4445
C14orf173	0.386166666666667
MAPK11	0.4355
TBC1D22A	0.758
FAM123A	-1.7355
COL4A6	-4.06016666666667
TOMM70A	0.2595
NAB1	1.010125
MGC16385	-1.275375
TSPAN18	2.21333333333333
MED31	-0.14925
PLG	0.889
CAPSL	0.1185
ZNF532	0.902
ASB14	-0.02375
CA8	-0.7795
NUDT16P	1.81333333333333
SLFN11	1.3095
LRRIQ2	-0.834125
NOL7	-0.267333333333333
BRMS1L	-0.985875
JARID1A	0.344833333333333
PANK2	-0.58925
ICAM3	0.816
MDS1	0.3165
TAF8	-0.48
RNF139	0.191
ZNF594	-0.4135
ADAM8	1.899
SFTPC	-0.168
MAN2B2	0.160875
RGS12	0.6926875
EIF1AY	0.337583333333333
LRRIQ1	-0.234666666666667
GPR150	2.65375
CCDC21	-1.82733333333333
PRRG3	-0.139
SAA4	-1.39975
RAPGEF5	3.838375
ZCCHC2	0.380333333333333
MGC39372	0.607
PPP4R2	-0.632333333333333
CDCA2	-1.02566666666667
OR4D5	-0.0616666666666667
PTGFRN	0.7253
SIGLEC5	1.71066666666667
C19orf61	-1.211
NMUR2	0.63
KIAA1586	-1.05633333333333
DAGLA	-0.2475
CHCHD6	-0.07525
GPR32	0.209
NEUROD6	-0.5102
SLC2A4RG	0.7100625
CA5B	0.332
FBXL3	1.34925
MPHOSPH9	-1.0805
HMG2L1	-0.03025
HCN4	1.5445
CEACAM19	0.713
SH2D4B	1.2265
HFE2	-2.262
TGM4	-0.0745
LYPD2	0.27625
TBC1D15	0.3895
MRPS21	-0.4162
NONO	-1.1624
CLEC5A	2.62725
ITCH	0.4289
MGAT3	1.5815
MBP	0.129375
RPP25	-1.803
SOSTDC1	-2.7725
HRC	-0.20075
TRIM48	0.746
TMEM133	3.01575
ECEL1P2	-1.548
HOXC11	-0.709
DOK5	0.9155
HELZ	0.0403333333333333
LOC348180	-0.29925
MGC33894	0.25775
ADRB3	0.092
DMD	-0.238083333333333
PTRH2	-0.80475
MPEG1	4.549
NDUFA12	0.301666666666667
KRTAP2-4	0.2865
STAMBPL1	0.1035
ADCY2	-0.383666666666667
UNQ6125	-0.659
KLHL20	0.750666666666667
SRM	-1.1335
OTC	0.41975
TMIE	2.566
SNX8	0.888
LIPK	1.3275
CHURC1	-0.317083333333333
KLC2	0.553666666666667
HDAC1	-0.9165
FAM128A	0.653666666666667
FNDC3B	0.482
MTCP1	1.702
WFDC10B	-0.0705
PCDHGB3	0.2965
ATRNL1	-3.5036
CAV2	2.259875
MED26	-0.316
DUS1L	-0.40425
CHRM3	-0.921
NEK9	-0.70575
WARS2	-0.4115
TBX22	-0.542
TOMM40	-0.938
RP6-213H19.1	-2.8505
TUBGCP5	-1.59425
IGSF6	6.7475
TPPP	-0.055
UNQ6190	-0.639
GSTM5	1.0555
BTD	-0.1695
PDCD1LG2	-0.0931666666666667
SNRPB2	-0.573166666666667
ERICH1	0.91775
APOA4	-1.445
HOXA11	-2.37725
NARG1	-0.424875
MKX	-2.00466666666667
RAB28	-0.725857142857143
PKP3	-2.79
SH3GL2	-2.96675
CTSO	3.52575
RPN2	0.055375
IL28RA	0.420166666666667
SFMBT1	0.372
WDR57	-0.86275
FER1L3	0.893333333333333
HSF5	0.2945
TTC9B	-0.11475
C4BPA	-3.98533333333333
ALB	-4.109
SORBS3	0.632875
UPF2	0.047
JPH1	-1.324
AGBL2	1.70425
DOPEY1	1.818
TERF1	-0.1705
KIF22	-1.34283333333333
NINJ1	1.4975
SEC61A2	-0.802416666666667
HIST1H1D	-0.442
SFXN4	0.535625
UCP3	0.7679
ZNF703	0.557666666666667
MYL6B	0.8485
TREM1	1.9265
OR52E6	-0.1655
CKMT2	5.42275
HLA-C	3.686625
SLC13A3	-2.47833333333333
TIMP4	-1.12225
SLIT2	-0.482
RSF1	-0.268277777777778
LONRF1	-0.726071428571429
MON1A	-0.3495
CACNG6	-0.7415
DPPA4	-4.325
ZSWIM3	0.0415
ZNF804A	0.407166666666667
CCIN	0.92925
SLC25A31	-0.525666666666667
KCNMB4	-1.15
RABL5	0.802625
GALNS	0.1914
STX6	0.98475
HIST1H1C	-0.183333333333333
CIDEB	1.76075
CASP4	1.6595
PDK3	-0.1078
KCNJ11	-0.1755
TPR	-0.524625
ZSCAN20	-0.9775
MTX2	0.3055
HIST1H2BH	0.59625
LOC283767	4.37
LYRM7	-0.831611111111111
BRD3	-1.8545
HIST1H2BO	0.60875
MAGEB10	-0.062
SLC45A1	-0.19175
SERPINA3	-2.7566
KIAA0143	1.25725
KCNJ16	7.69016666666667
KRT79	-0.64475
FABP2	-0.91675
NUT	-1.03175
ZNF57	-0.794
FBXL4	-0.29075
CLEC9A	4.1135
UGT8	1.49166666666667
BMP2K	0.96325
MAPK4	-2.7505
SLC25A23	0.3119
HINT1	0.3554
KRTAP13-1	0.4465
SFXN5	-0.2799
CHCHD2	-0.0593333333333333
FAM3D	2.308
NDP	-3.783125
RHOBTB1	2.71616666666667
SLC4A4	4.651375
RPL38	0.28375
HTF9C	-0.245166666666667
AP2A2	0.164
ZBTB46	0.3075
MAP7D1	-0.548375
AOX1	2.76533333333333
CYR61	1.21075
DTNA	-1.68661538461538
JRKL	1.22425
TMOD3	-0.487
EEA1	0.1619
ADCK5	0.00175000000000001
IL1R1	1.65733333333333
KLK3	0.921928571428571
HRSP12	1.9895
KTN1	-0.2185
LOH11CR2A	-0.4389
RELL2	-1.69375
MAB21L1	0.01875
C20orf59	-0.496333333333333
PHKB	-0.098
ADAM2	-3.2285
TBC1D8B	2.74566666666667
FAM13A1	1.0591875
LAPTM4B	-1.30533333333333
LCN8	-0.057
TMEM147	0.002
SYT4	-0.522833333333333
XPO7	-0.8585
C9orf62	2.769
GPR75	-0.6795
TRIM5	0.56525
APOC1	2.4855
RNASE4	0.9255
PARD6B	0.09575
ARID1A	-0.943583333333333
TPD52L3	-0.129777777777778
RRAGB	0.7395
RCN2	-1.1355
HIST2H2BE	-0.428875
STARD7	0.0885
SHMT2	0.40625
KIAA1751	0.336833333333333
MLYCD	1.732125
LOC162632	-0.6174
UQCRH	-1.944
RP11-217H1.1	1.11675
SDHA	-1.01616666666667
NCLN	-0.5201
ZNF17	0.343
RCBTB2	1.3965
VEGFB	1
RP4-747L4.3	1.425
COLQ	0.0421
MPN2	-0.685166666666667
DRG2	-1.06575
KLRB1	7.46875
ALPK2	3.61
DNASE2B	3.33775
FLJ23834	0.774833333333333
AXUD1	-0.486166666666667
SAFB	0.2304
NSUN4	-0.29925
RFX2	0.663833333333333
MAPK8IP1	-0.7605
FANCD2	-2.35585714285714
ANKZF1	-1.11166666666667
C19orf50	-0.73175
DUSP8	0.383875
SENP5	-0.216
NFKBIL2	-0.5405
LBR	0.09225
IGFL1	0.2035
LZTS2	-0.721625
IL2RG	0.752125
CCDC51	-0.031
KLF3	0.049875
ANKRD37	0.9515
KCTD14	1.91983333333333
FZR1	0.0851666666666667
SLC44A4	-1.3121
ESPL1	-1.018125
GMPR2	-0.6787
TBC1D19	0.0375
ERGIC1	1.30862962962963
ERBB4	-1.668
TSPAN32	0.81525
MAP4	-0.390625
GPHN	-1.0035
SLC6A2	-0.245875
HIVEP1	0.29075
DFFB	-0.3058
EIF4EBP2	0.570625
DMRT1	-0.30125
HSPB6	-0.50575
IER2	0.056
AIFM1	1.0485
WWC2	0.561916666666667
MRPL4	-0.47275
FLJ21062	0.728333333333333
EPB41L4A	2.77691666666667
SH2D6	0.36925
TAF4B	-0.74525
GAL3ST3	0.045
MALT1	0.292666666666667
RTDR1	4.1445
ARVCF	-0.6235
MEX3B	-1.81266666666667
FBXO16	0.8895
KIF7	-2.5985
C1QC	5.56633333333333
ZNF783	-1.30483333333333
ZNF85	-1.06425
MMP13	-1.157
KIAA0329	0.43725
RTP3	1.7345
ZBED3	0.449
CLGN	-3.08975
SLC25A37	-0.647208333333333
hCG_18290	-0.256
OR5AS1	-0.5125
SMARCC2	1.15241666666667
FAM109A	0.165666666666667
CCDC12	-1.01825
USF2	0.3548
DEPDC7	0.99175
C20orf24	-0.377333333333333
JMJD3	-0.1075
DSP	-2.275
SLIC1	1.283
FAM20A	2.496
IRF2BP2	0.82725
ZNF230	0.141
MSN	0.867928571428571
SLC9A5	-1.377
EPDR1	-0.1822
MUSK	-0.101833333333333
ZNF434	-0.285333333333333
SMARCD1	-0.123333333333333
